A\A\B421.wav,家庭军队,家庭军队。
A\A\D009.wav,再减七哎一直往下减再减七,
A\C\D277.wav,我给你念过得迈镜子了嘛嗯镜子我给你念过没有好像念过的哦锤子,我给你念过的吗？嗯，这次可以练过没有？锤子。
A\C\G395.wav,可以可以这个没得问题那她打电话可以吗,可以，没问题。
A\A\B587.wav,自行车,自行车。
A\C\C489.wav,你照到你看完勒个视频之后你照到视频上哩方法你再画一遍,那个视频之后。
A\C\F342.wav,您这样不是给你两个吹牛我们就做不完了好您觉得生活空虚吗,我们就吃不完了哈，哈哈，那个你觉得生活空虚吗？
A\C\H460.wav,没有哈斧子我读过吗斧子劈柴用的斧子我读过吗,没有哈，胡子我读个嘛胡子，批常用的胡子合作过吗？
A\B\S573.wav,他有几次就是坐在坐便器上面我妈妈帮他洗,或者是。
A\C\C236.wav,军队军队硬币硬币铁路,军队对，铁路。
A\B\G72.wav,方向盘水管剃刀二胡,方向盼碎罐剃刀，二胡。
A\C\D566.wav,没得没得这个没得,没得没得，那个没得。
A\A\Q735.wav,耳朵狗锤子,耳朵，锤子。
A\A\A755.wav,脑阔清晰不脑阔不清晰哈清晰还是脑阔清晰不,梦狐蝠数。
A\C\B290.wav,十七页哈对有好把第十七页拿给婆婆好婆婆你现在看这个先不开始动手哈,洗一下，你现在看这个先不开始动手哈。
A\B\E382.wav,那他会不会就情绪很变化啊什么情绪不稳定啊很容易生气啊,我操，会不会又没有你情绪的变化呀？我情绪不稳，等一下还容易生起。
A\B\Z144.wav,嘞个看到过没有看到过没有刚才看到过没得嘞个可能没看到过,嗯，好，老子看到过没有？老婆刚才我看到过没得？看不到人。
A\C\D99.wav,旗子图书馆,锤子图书馆。
A\B\L181.wav,结束了哈好没关系,结束了哈。
A\B\S272.wav,诶好我们先来第一个哈这个刚刚有没有啊,哎，好不想来的嘎，这个月刚刚用没用啊。
A\C\C479.wav,这个没有好哩好这个做得很好这套纸,很，这个没有到。
A\C\D418.wav,看得到吧,看得倒吗？
A\B\B313.wav,嗯我再带你看一哈哪些是看到过了的哪些是没看到过的嗯好,嗯，好，我在接的，不挨我在哪里？
A\C\H391.wav,一二三四五,语音儿10。
A\B\B306.wav,这个安没看到这个安没看到嗯,在家，没看到这个没看到，嗯。
A\A\D612.wav,刚刚那些词语哈婆婆楞个嘛刚刚那些词语你能回忆起好多,
A\B\Z295.wav,就是发脾气你们可以他发脾气这种情况你们可以会不会伤害到你们安给你们带来嘿大的困扰有没有这种情况安都是他脾气嘿大都是要框他就是那种比平时脾气要大得多,他又没得幻觉表现啊，悠悠，听到不存在的声音，等会。
A\C\D306.wav,好我能问一哈家属她自己生活,我问一下，现在她个人生活。
A\A\B214.wav,有大概有个有个有个几秒有过这种情况几秒钟就不好说了,如果。
A\A\Q771.wav,没得哈有没得这种焦虑的表现就比如说照顾他的人离开他之后他就觉得很紧张不能放松,没得哈，有没得很焦虑的表现，跟你说照顾他的人离开他之后，他就觉得很紧张不能放松。
A\C\C297.wav,那你平时现在平时生活有没有活力有没有精神呢,好，有没得？
A\C\F567.wav,好了医生她画完了好婆婆来现在听我的口令哈,喊他发完啦，一下。
A\A\B507.wav,皇冠没得老虎有,王哥没得，老吴有。
A\C\E151.wav,哦拳头可以放开了拳头可以放开了拳头拳头放开了哈现在你把那个卡片和铅笔拿出来然后你把他把铅笔放在卡片的旁边,全都可以放开了，嗯，现在你把那个卡片和铅笔拿出来，然后把嗯，你帮他把铅笔摆在卡片的旁边。
A\A\A830.wav,男娃儿用哩男娃儿用哩,马蓉。
A\B\G262.wav,你看它像三脚架还是像画架呀三脚架,你看他想三脚架还是向华家呀？
A\A\B178.wav,但是他吃了好久效果不好吗哦才开始吃哈,吃顿饭。
A\C\E100.wav,那我们再看一遍好不好再看一遍再看一遍就是最后一遍的哈然后你你再再加强一下,那我们再看一遍好不好？再看一遍，再看一遍就是最后一遍，然后你你再再加强一下。
A\B\Q56.wav,有没有表现出来比较焦虑紧张没有没有,有没有表现出来比较焦虑紧张？
A\B\E108.wav,好指一指屋顶然后指一指地板,好滞以致屋顶，然后治一治迪拜。
A\B\Z223.wav,爸爸这个是啥子念到过没得念到过,对呀。
A\B\D90.wav,拍肩膀哦肩膀我没听懂眨眼睛嗯好的,还见吧。
A\C\H268.wav,板凳读过吗读过轿车读过吗,班长做过吗？度过吗？
A\C\H258.wav,老虎老虎没有没有哈这个黎明没,恼火，老公没有，没有哈这个没有。
A\B\B448.wav,你看一下婆婆连对没有一二三四五六七八那个一二三四五六七八,你看对没得12345678那个，12345678。
A\B\C130.wav,斧子对头斧子,夫慈，嗯，对头，嗯。
A\C\B169.wav,拍每一个肩膀两次,拍每一个肩膀量吃。
A\A\Q043.wav,正方形正方形老头不是圆是正方形,
A\A\Q793.wav,记得到不有些属于工具的词有哪些,记得到不有些属于工具的词有哪些？
A\B\Z102.wav,嗯把铅笔和卡片放在他面前都并排摆在他面前啊要的,哎呀，你是没看到你面前摆的那样东西哈，请你把铅笔放到卡片上再拿回来。
A\B\A308.wav,还有一些是交通工具之类的交通工具是汽车汽车还有呢还有轮船轮船好的好的,嗯，还有一些是交通工具来哒，啊，骑车还有呢，发。
A\C\C329.wav,那之后的话过个两三天过个两倒工三个工作日你们就可以联系一下吕教授,两三天。
A\B\Y263.wav,猫嗯,
A\C\B464.wav,也没有打过没有打过,也没有，没有大哥哈。
A\A\B593.wav,锤子锤子椅子椅子,嗯，锤子，锤子一只鱼子。
A\A\D069.wav,本来就该休息啊他又爬起来吵到起比如说干啥子上班啊啥子哩有有嘞种有嘞种,
A\B\R143.wav,给婆婆拿一张空白的纸然后放在他面前哈先不要让她拿着嗯,这个和那一张空白的字，然后放在他面前哈，先不要让他那点儿。
A\C\E309.wav,还是像那样的连先连开始数字一开始,还是想啷个的，一开始。
A\B\A161.wav,这个这个是口风琴好,几个？
A\B\F42.wav,四十四只石狮子,44只石狮子。
A\C\B195.wav,然后呢待会儿在做测试的时候我会您穿插另外十二个您没见过的词,然后呢，等哈儿在做厨师的时候，我会给你穿插另外12个你没有见过的词。
A\A\C254.wav,还有一个就是用来装液体的物品是水罐,还有一个就是用于装液体的物品是水管儿。
A\B\A153.wav,好现在能记到那些就是刚才读的这些词能记到哪些有一个硬币硬币很好,就刚才坐在这里吃弄鸡蛋那些。
A\C\E352.wav,距离隔远很哒,重新挖瓜，老汉儿在那边，华哥。
A\C\H290.wav,山药啊山药啊我给您几个选项哈婆婆铁树仙人掌和叉是哪个,没有啊，我给你这个选项哈，婆婆，铁树，仙人杖和叉是哪个？
A\A\D018.wav,八十六减七好多八十六减七啊嗯,我。
A\B\Y198.wav,汉字又到数字,
A\A\A396.wav,是否经常为一些小事情伤心没有从不伤心,
A\B\B247.wav,这个安二指姆,这边。
A\B\E238.wav,这个等下我放大一点花架,今下午还打来了花甲。
A\A\Q398.wav,你有没有感到经常感到心情沉闷啊不舒服这些,你经常感到心情沉闷哪，不舒服那些。
A\A\A489.wav,小娃儿耍的鼓叫啥子鼓嘛拨浪鼓,
A\A\A510.wav,还有两个没认出来哈再看一遍哈按两个没认出来然后再看一遍勒些刚刚看的有印象的再记一遍哈,了哈。
A\C\A279.wav,那她就是能认得了人能正常说话了是吧她能跟我三姨交流了,教他给我3两万三一号，三姨他们交流了。
A\B\A344.wav,那您会不会经常因为一些小事而感到伤心难过她有嗯,那你会不会经常为一些小事而感觉伤心难过？
A\B\E273.wav,太阳听到的,一样听到的。
A\B\D228.wav,那婆婆有什么日常用药没有他很少用药很少用药哈,那婆婆有什么异常？用药没有，他？
A\B\Z92.wav,那这一下呀这一个呀喊啥子食指,那一个呀，啥子？
A\C\D542.wav,没得哈有没有一些攻击性的行为容易发火呀拒绝难以相处这种有没得,没得哈，有没得攻击性的行为啊？容易发火呀，只觉难以想出那种有没得啊。
A\A\D351.wav,磊哥有没得没得,这个有没得？没得？
A\C\C289.wav,要要啊一些事情有时间啊你有没有觉得现在有没有有没有觉得啥子心情沉闷哪那些感觉有没得平时,11，这种情况还有没得？
A\A\D397.wav,胳膊猫猫,人们包猫。
A\A\D310.wav,然后现在婆婆你给我指一哈哪个地方是贴邮票的地方,然后现在波波你给我指一下，哪个地方是贴邮票的地方啊？
A\B\A80.wav,哪一个是装液体的水缸,那个是装业绩的。
A\C\E341.wav,好吧现在听我说哈六二九六二九她要你倒起说,415415倒过来说。
A\B\G253.wav,国旗呃它是一种乐器,没起，它是一种乐器。
A\A\C616.wav,锯子扫把,
A\B\R52.wav,吃的高血压药是什么名字呀叫什么呀呃,在吃的高血压药是什么名字？叫什么呀？一个的994。
A\A\A115.wav,好最后一遍哈,
A\B\G304.wav,还有一些是交通工具类的,还有一些是交通工具类的。
A\A\B008.wav,好像看起没得那种很苍白苍黄的感觉哈他,通风不如红。
A\A\D029.wav,嘞是铅笔啊哎啷个是铅笔哎,
A\C\C734.wav,你早醒的话一周有好多回呢,好多兔儿。
A\C\E131.wav,好现在跟我说一下刚刚看到了那些刚刚看到那些词语海洋恩对旗子,来，现在给我说一下，刚才看那些哈儿，嗯，对。
A\C\E393.wav,钟自行车自行车好你现在重复嘛,你回来耍噻，词语。
A\B\R241.wav,其他的还有什么哈她上厕所什么的可以自己哈可以自己的,其他的还有什么啊？她上次就说什么都可以直寄哈。
A\B\H92.wav,你那是猫头鹰哈家具是哪一个,要适应哈，家具是哪一个？
A\A\D458.wav,斗是我跟你说一些提示哈看你晓不晓得,就是我给你说一些提示哈，你看你晓不晓得。
A\B\Q27.wav,是否经常因为一些小事情伤心,是不是经常因为一些小事情担心？
A\A\Q471.wav,现在你要假装寄一封信给你自己那张白纸就是你的信纸,嗯，现在你要假装几封信给你自己哈，那张白纸就是你的兴致。
A\B\Y282.wav,斧子说了没有斧子没说哈,
A\A\Q214.wav,可能认是认得到只是这个表现出来的他可能不是很亲好哩,可能认识认得到那个表现出来的不是很。
A\A\B623.wav,问你像滑梯还是像电梯电梯好这个,你像华天是向电梯电机，嗯，好几个。
A\A\D529.wav,他哩妈妈就是我的外婆应该这个到晚年有出现精神上这些一些状况但那个时候没有去医院治只说他可能有点不对头,嗯，他的妈妈就是我的外婆，应该那个到万宁有那个有出现精神上的一些一些状况，但那个时候没有去过去医院治，只说她好像有点有点不对头。
A\B\A217.wav,这个读过吗也读过样,酒多了吗？
A\C\B232.wav,见过,见过。
A\B\D222.wav,那她自己上街买菜啊那些呢要啊都是自己可以完成的哈,那他只进上街卖菜呀，你行啊，可以了哈。
A\C\B115.wav,记得吗还有什么方向盘啊好的那我们再来一遍,还记得吗？还有什么方向盘？
A\A\B384.wav,记得什么就说什么想一下嘛记得什么说嘛刚才读过的,记得什么就说什么，乡下没得什么说嘛，刚才读过的。
A\C\F413.wav,因为那种也没试过因为它一般要都摆到那种看得到的地方,因为那种你也没试过，因为他一般药都摆倒起那种看得到的地方。
A\A\A870.wav,我迈对头小学哎,
A\A\A468.wav,再画个圆形的钟表画个圆哎这个地方画个大圆形的钟表,
A\A\A259.wav,五八幺九二六四七五八幺九四六二七,三龙。
A\C\D134.wav,他手头那个笔摆在她面前嘛放在面前哈放了哈两个并排摆在她面前并排摆起,他手头拿个笔摆到他面前嘛，两个并排摆在它面前并排摆起。
A\C\D19.wav,你在几楼都不晓得啊你可以不知道说不知道就可以了没得关系,你可以不知道就说不知道就可以了哈，没得关系。
A\A\B440.wav,二拇指嘛他还有一个通俗一点的名字叫什么,么儿母子嘛，它还有一个通俗一点的名字叫什么？
A\B\S312.wav,这个出现过了的,情人节结婚。
A\A\D370.wav,老师画不画箭头他这个连线不用画就是连起来就阔以了,那是花花尖儿那个联系。
A\B\G77.wav,然后还有一种鸟类,嗯，然后还有一种尿呢。
A\B\B534.wav,好来你画一下嘛把刚才那个图画下来,来，你画一下把它脱下来。
A\A\C414.wav,记忆的不行儿童记忆的不行,姐姐都不信我耳筒，几爷都不信。
A\B\E174.wav,对的然后我们这个顺序是我们要从一到二二到三三到四这样按顺序连下来,然后我们现在这个顺序是我们要从1~22~33到死，只要按顺序来练下来。
A\C\G77.wav,好婆婆现在把屏幕这个图画出来啊把屏幕上这个图画出来,阿婆婆现在把屏幕上的那个图画出来，把屏幕上截个图发出来。
A\B\Z38.wav,好请你在这个纸上写一句话写一句话写一句有意义的话,请你在这个自来，在白纸上哈写一句话，写一句有意义的话。
A\A\C443.wav,屋顶地板好现在将笔放在白纸上面然后再拿回去,无尽，嗯，好好好，现在将b放在白纸上面，然后再拿回去。
A\B\S668.wav,钟钟,中中。
A\C\A59.wav,萝卜和花菜有撒子共同点,萝卜和花菜有啥子共同点？
A\A\A195.wav,就画勒个图噻哎,
A\B\B420.wav,想不起了没事还有还有时间想嘛,了不起了，没事。
A\A\E336.wav,幺五二八六幺五二八六六五八二六五,15286286622826。
A\C\B31.wav,现在是快夏天了嘛现在春天已经好那现在是几月份呢,现在是快进夏天了嘛，现在春天的。
A\A\D595.wav,书桌,
A\B\Y383.wav,记不到咯嗯然后,啊。
A\A\Q426.wav,重庆市属于嗯,你重新是要睡啊？
A\A\D187.wav,图书馆麦子海洋,图书馆麦子，海洋。
A\A\Q381.wav,他国人平时没得事的时候他就在出去走一哈走一哈,平时没得事的时候，他都得出去再走走一哈儿。
A\C\G32.wav,十楼哦十楼十楼好婆婆我们接下来哈我要跟您说三个东西,吃了，接下来哈，我要给你说了三个东西。
A\A\C253.wav,最后一页我们汽车的部分是方向盘,最后一年我们汽车的一个部分是方向盘。
A\B\B789.wav,啊最后一个你觉得你头脑会不会像往常一样思路清晰啊这些有没有思路,啊，这个啊，你觉得你头脑会不会像往常一样？是不是思路清晰有没？
A\B\L217.wav,种种,中东。
A\B\L127.wav,嗯你现在不看表你估计一下大概几点了,嗯，你现在不看表，你估计一下大概几点了？
A\A\D408.wav,猫猫斧子斧子,猫子字。
A\B\E124.wav,好行可以了哈叔叔你现在告诉我现在不要看时间不要看钟表你告诉我现在大概几点了大概七点过嘛,哈哈，叔叔你现在告诉我现在不要看时间，不要看总不要那些，你告诉我现在打开机电了，大概7:00过嘛。
A\A\A148.wav,海洋图书馆皮肤,
A\C\D240.wav,老虎老虎黎明黎明,老虎黎明。
A\A\E346.wav,然后拿出数字多的这一张从一开始二十五结束,然后我拿出多树子躲到这一章，从一开始25别出。
A\C\E398.wav,你刚刚说的那些我估计他都根本没有往心头去记都没去记哟他现在是已经不耐烦了哈唉他现在是已经不耐烦了,这样嘛，我们来我们来看那个，嗯，看个图哈，最后看一个图。
A\A\A411.wav,对头视力很差但是我的老光眼睛还是只有两百度,无。
A\C\E132.wav,海洋旗子还有没得想不起想不起了哈好那我们再看一遍,哎呀，旗子还有没得？
A\A\Q323.wav,好像都念过一样飞机念过没得飞机没有,喊你跟梁过的一样，飞机那个没得，没有。
A\A\C120.wav,汽车上的是啥子汽车上的,汽车上的啥子汽车上的？
A\C\C282.wav,那你平时有没有发生感觉什么不好的事情呀那些有没得平时感觉,你平时有没有发生些不好的事情？
A\B\B20.wav,那好你平时的话就是有没有这种感觉嘿早就醒过来了就睡到一半啦就醒过来了那种醒的嘿早,然后你平时的话就是有没得这种感觉，早很早就醒过来了，就睡了一半啦，就醒过来了，醒得很早。
A\C\F268.wav,有点像个房子但是又不是那个样子像没事你就用一溜吹那个,有点儿像个房子，但是不。
A\B\G89.wav,然后有一种是用来测量物品的工具这个忘记了,然后犹豫中适用于测量武平的工具。
A\A\C522.wav,直尺没有,都吃没有？
A\C\F493.wav,没有有,我。
A\A\D486.wav,有一些,嗯，有一些。
A\A\E543.wav,有我觉得现在活着就好啊活着开心就好啊嗯,哎呀，我觉得现在活着就好啊，开心。
A\A\A756.wav,还算清晰还没糊涂嘛,嗯。
A\A\B692.wav,轿车轿车没听过,轿车没听过。
A\C\C231.wav,图书馆海洋勒哩还有吗嗯,图书广海洋，有吗？
A\A\A720.wav,那问题勒些得分好高哟,
A\C\C815.wav,刚刚说了三遍的词语你看你有没得印象,刚刚。
A\B\Z116.wav,两个两个画好了吗画下一个哈嗯再画嘞个,他那个发不出来，不出来了，嗯。
A\C\F673.wav,内个像内个,我有点卡儿，但是。
A\B\S553.wav,体重有变化吗最近瘦了一点最近瘦了一点,哦，体重有变化吗？
A\A\B638.wav,圆规半圆规叔叔您觉得它像三角尺还是像量角器呢,严规半年归呢。
A\A\D332.wav,项链没有好现在我们第一遍测完了哈我们现在来看一遍刚才那些词再加深一下印象好不好,项链没有，今天我们第1遍测完了哈，我们现在再来看一遍，刚才那些词再加深一下印象好不好？
A\C\B272.wav,对然后好婆婆现在再画一个,嗯，然后好婆婆现在再换一个。
A\B\Y351.wav,这个呢这个是扶梯,
A\C\C847.wav,你平时的话让你上街一个人去买东西的话有没得问题我新到一个地方比如到我儿子那里,王丽。
A\C\H329.wav,这个刚才读过吗没有没有共享好好好,这个刚才做过吗？啊哈哈哈哈哈。
A\A\D503.wav,他最近嘞个饮食啊胃口啊怎么样还可以,他最近那个饮食养胃口的那些怎么样？嗯，还可以。
A\C\E276.wav,好现在我们计时哈我们尽量越快越好把他连完好不好,好，现在我们去试下，就是尽量的越快越好，把它念完好不好？
A\C\D553.wav,不合时宜的哈哈笑啊说一些几乎算不幽默的这种话呀有没有这种表现啊,不过十一的笑，哈哈笑啊，说一些，几乎算不算幽默的来说，这种话有没得哪些表现啊？
A\A\A320.wav,铅笔,
A\B\E87.wav,哑铃硬币铁路儿童军队国旗皮肤图书馆麦子海洋,雅婷硬币，铁路二筒军队国旗皮肤图书馆麦子，海洋。
A\B\C99.wav,这是一种文具也是一种文具但是他不叫圆规你想哈他叫啥子名字,那是一种文具，也是一种文具，但是他不叫圆规，你想下她叫啥子名字？
A\A\Q454.wav,你跟我重复这句话四十四只石狮子你重复一遍啊,你给我重复一句话，40只40只，给你重复一遍啊。
A\A\A285.wav,叫啥子叫梭镖那种嗯对对对,开始。
A\C\E400.wav,我们来看内个看个图最后看一个图看一些图你跟我说她说啥子,喊他看到起他都不看，看。
A\C\E26.wav,还有六十六十六再减七,还有60，66。
A\C\C811.wav,就照着念那个词语那个最近一会儿我念一遍喊你跟我练一遍,这是最早最早的那些词语那个。
A\A\B666.wav,叔叔我提醒一下哈叔叔我提醒你一下有一些词是我们身体部分的词,用一些词是我们身体部分词。
A\B\A280.wav,她想不起了想不起了,
A\C\D583.wav,好下面那个我给你看一些画哈你又来认这些画是啥子哈,跑下面那个我给你看一些话，还溜来整那些话是啥子哈？
A\C\C124.wav,老师你看一下你拿一张纸,你来了。
A\B\S214.wav,这里面可以放钱叔叔皮包诶对,这里面可以放钱是不是？
A\B\Z335.wav,就是吃东西比以前吃的少了哎相对以前他要吃的少些了但是我们还是尽量在喂他他反正个人吃嘛我们尽量多给他整点菜,就是吃东西比以前吃得少啦，爱相对以前他吃烧虾，但是我们还是尽量在喂他，他反正各人吃嘛，我尽量多给你点儿菜。
A\A\B720.wav,大概多久了呀你睡眠不好有多久了爸爸有几年了哪样哎,大概多久了呀？你睡眠不好有多久了？爸爸有几年了？
A\A\A397.wav,是否经常想哭不想哭重没哭过集中精力有困难吗不困难,猪。
A\C\E237.wav,积极撒老师内个完的吧没有还,去结算。
A\C\C824.wav,是有个小车你要说对名字小车轮椅马,
A\C\G88.wav,这个词你都认不到啊这是啥子字这是书桌对了哦书桌嗯书桌你然后要把这几个词记到自己现在脑壳记,这个词都认不到你，然后把那几个词要记到。
A\B\E83.wav,还有一种乐器最后一个看到的二胡说了的撒,还有一种乐器，最后一个看到的。
A\A\A501.wav,写的来不屋头的地址寄信的时候会不会写,
A\C\F401.wav,都是直接他除了除了现在耳朵有点儿背然后要说大声点儿,他出来他出来就是耳朵现在有点背好，然后要说大声点儿。
A\C\F319.wav,您就回答您刚才听过或者没听过好不好,你就回答我，刚才你听过或者没听过好不好？
A\A\C575.wav,我先问你一下哈我先要给你念一些物体的词语,我先问一下哈，我想要给你一些5题的词语。
A\A\D360.wav,现在婆婆你在这个白纸上哎画一个钟,嗯，现在婆婆你在那个百度上面画一个钟。
A\C\H228.wav,然后它指向的是十一偏向十二一点嗯几针时针,然后他只想到是11偏向少一点，急诊10张。
A\C\C5.wav,是做事情力气不够精力不足还是说只是想睡觉你是哪种情况,只是想睡觉。
A\A\A441.wav,爷爷这是什么铅笔铅笔,日妈儿。
A\C\A176.wav,婆婆下面我说几个动作然后您跟着我的指令做哈我只说一次不重复哈,我不想跟我说了几个动作，然后你跟着我在这两个字哈，我只说一次不重复哈。
A\B\B657.wav,嗯有点儿它有个专门的一个名词想不想地出来我不晓得它叫啥名字是种运动撒,对他有专门专门儿的名字，想不想出来？不晓得。
A\C\C256.wav,对这个呀这是一个花这是撒子,在，在。
A\C\H305.wav,是不是钳子啊是钳子吗不是是一般吃饭用时用的那个不锈钢的那个夹子哈夹子嗯,是不是欠揍呀？是骗子吗？嗯。
A\B\E126.wav,然后待会我会在测试里面会穿插十二个你没有见过的词然后你要告诉我刚才那些词你有见过还是没见过,然后等会儿我会在自贡市里面再穿插12个厘米，之前只有12个目标是你没有见过的吃，然后你要等会儿在超市里面，你要告诉我那些刺，你刚才在目标智慧令见过还是没见过？
A\C\C515.wav,比如说我说一五十你要倒起念斗是十五一懂了没得,一五十就是45亿没得。
A\C\F357.wav,有时候感到那你有没有觉得像这样活着有点累,有时候感觉，那你有没有觉得像这样活着有点累。
A\B\F6.wav,那你住在哪一个城市的安住在哪一个啥子安,嗯嗯，再说，星期几晓得不？3。
A\A\D657.wav,是楞个样子哩我们的感觉是他现在做题啊我觉得跟上回差不多几乎都做不起,
A\A\Q300.wav,好这个这个婆婆认不认得到他阔能认不到哩个那婆婆这是啥子东西,好，这个，认得到啊，认不到好不好？这是啥东西？
A\C\G193.wav,白纸放在这把笔放在白纸的另一边放在白纸的另一边然后再把白纸翻一个面你要放在她这点她才看得到哦哦哦,
A\C\C352.wav,对嘞对嘞能不能把名字说出来就是听勒些心脏,名字说出来。
A\B\R64.wav,上和下他是一队然后他现在问的上它和哪个是一对儿和哪个是一对哦就是我不晓得和哪个是一对哦搞不清楚,上不下他是一对儿，然后他现在晚上还和哪个是一对，我那个是对了啊，我都不晓得啷个说。
A\A\D207.wav,现在看吗这个是啥子这个是月季花,现在看嘛，那个是啥子月季花？
A\C\F412.wav,结果他吃啥子或许他她就搞有时候它就会少吃一顿两顿那种但是他一看到,结果他结果吃啥子或许他就搞，有时候儿会少给他少吃一顿两顿那种，但是。
A\C\C95.wav,嗯我屏幕跟你共享一下好勒,屏幕给你共享一下。
A\B\L118.wav,两千零二十一,2021。
A\B\L147.wav,六幺九四七三,6腰酒73。
A\A\B025.wav,头痛为别真的打了疫苗有楞个严重的副反应吗会引起溶血吗,同。
A\A\C338.wav,汽车部件是啥子方向盘,汽车部件是啥子方向盘？
A\A\E140.wav,嗯皮肤嗯,嗯，皮肤啊。
A\B\B628.wav,你估计一周有几次大概的话一周下来会出现几次,你估计一周有几次？大概的话一周下来会出去吃。
A\B\S266.wav,女儿啥子哦好前天好,女儿抓子嘛。
A\C\H302.wav,画圆圈的对叫什么名字呀名字我想不起来了嗯我给您几个选项哈婆婆是尺子圆规,把眼圈了，嗯，我给你寄个选项还是尺子圆规。
A\A\D556.wav,那你现在在几层楼你现在在几层楼,
A\B\Z101.wav,好他有没得焦虑的表现可以了可以了可以了哈嗯张叔我们寄的那个道具里面哈嗯有一个卡片嗯还有一支笔,来把铅笔和卡片放在他面前，就并排摆在他面前，啊，要得。
A\B\A73.wav,这四个里面哪一个是看东西用的望眼镜好的,而且4个里面那一个是，嗯看懂信用的眼镜。
A\B\Y136.wav,画好了嗯好婆婆然后然后我们的工具包里应该有一个信封,我。
A\B\B40.wav,诶比如睡着睡着感觉感觉那点黑痛啊腰背痛啊脚痛啊有没得这种感觉,哎呀，比如岁岁高头那点儿很痛啊，腰背痛啊，脚痛啊，有那种感觉。
A\A\A698.wav,会不会因为因为一些小事情伤心啊斗是不开心的小事情伤心会不会会,
A\C\B441.wav,洗澡还可以哈她都是自己洗对是自己洗那她能上街购物吗能去买东西吗,洗澡还可以。
A\A\Q621.wav,嘞个叫啥子哎嘞个叫啥子指嘛四手指,那个叫啥子呀？
A\C\F83.wav,嗯对折然后把纸放在大腿上放左腿还是右腿,嗯，对子，然后把智放在打退上，放左腿还是带右腿？
A\B\S421.wav,小一到大一然后喃大一连小二对了三,想去找大爷，对了噻。
A\A\E240.wav,我只能写到重庆市,我只能写到了清水。
A\B\A307.wav,那有一些是工具类的能不能想起来一点想不起,那有些是工具来到能不能下下来的？
A\B\S593.wav,哈哈儿就好了一会就好了他又不往心里,哈哈儿就好啦。
A\C\E172.wav,好了好现在把信封口口封起来信封口口把信封口口封起来,好啦，现在把风把信封口口封起来。
A\C\F239.wav,然后再把白纸翻一个面他说里啥子啊把笔放在白纸的另外一边,然后再把稗子翻一个面，别放在白纸的另外一边。
A\C\E271.wav,不看不看不看经过那你年吗一连到二二连到三,我看不看？
A\B\E199.wav,提示一下这个不能提示那我们再来一遍嘛,提示一下。
A\B\A315.wav,斧子有没有斧子有哇有哈,脖子有没有复制？
A\C\B7.wav,晚上晚上啊十点半左右,电板作用。
A\B\H10.wav,第一个是皮球嗯听到没得皮球,第1个是皮球，嗯，听到没得，气球？
A\B\C27.wav,从一开始连哈你先莫去连十三这个莫法到起连,从一开始练哈，你先没忘记他13，那个不能倒起的。
A\B\Y265.wav,椅子猫狗耳环眼睛耳朵眼睛,
A\A\Q594.wav,读嘛你认得到噻,读嘛的都认得到噻。
A\A\B273.wav,那那些都是老问题了噻你现在把结核搞清楚了来嘛先把结核治好了再说其他的因为结核有时候也会,嗯。
A\B\Y374.wav,飞机对,
A\C\C421.wav,前偶唉前额,呵呵。
A\C\B179.wav,我们现在要假装寄一封信给你自己,我们现在要嫁妆及风行给力之际。
A\B\B668.wav,这个安这个是树子嘛,这个呀。
A\C\G43.wav,九十三哈刚才我说了哈九十三哈,就是就是3号到93号。
A\A\A675.wav,你是不是觉得你生活很空虚现在生活啥子哎黑空虚,媳妇。
A\B\A88.wav,然后刚才还看到了一个鸟是什么想不起了叫什么鸟是猫头鹰猫头鹰对,然后刚才还看到了一种尿是什么？
A\C\G116.wav,二对了哦连起来是啥子撒二胡对了撒,这个字而累了，喝起来是啥子嘛？
A\B\S488.wav,长期都说算错了长期的,伤心都说算错了，唱起了。
A\B\S156.wav,嗯剃刀是剃刀,嗯，祈祷儿。
A\B\Z284.wav,嘞是一种木工器材他叫啥子名字安他是机关枪喃还是锯子还是刀,说。
A\B\B263.wav,好然后你接下来做下一个部分嘛,嗯，好，然后你这哈儿做下一个动作嘛。
A\A\A843.wav,剃刀汽车部件方向盘装液体哩水罐,嗯，四川。
A\B\S274.wav,嗯这个有没有啊这个没得,嗯，这个又没用啊。
A\C\E139.wav,哦不是是吹吹吹的哨子嗯铅笔摇铃,吹吹的臊子千咬你。
A\A\Q757.wav,他平时国人生活是上厕所能不能自己上厕所,和他平时个人生活是，上厕所都没得机上厕所。
A\B\A216.wav,好的这个读过吗读过了的好的,嗯，好的了吗？
A\A\Q537.wav,他不会寄信他在他在叠没得嘛,他不回去写，他在他在跌没得嘛。
A\B\B709.wav,啊没事没事婆婆没事记不到没啥子我们做下一个这个有很多人记不到的,啊，没事没事没事。
A\C\C148.wav,嗯还有撒子啊有浪多哒好,在苏州。
A\C\F627.wav,椅子椅子轿车轿车,一只。
A\A\E417.wav,然后我们也没有在一起嗯好就开始有那种,那和我们也没有在一起跟。
A\A\Q924.wav,有没有觉得像现在楞个活起没得意义得没得意思的,你们觉得像现在有活起是没得意义得，没得意思得。
A\A\E211.wav,哦好阿姨那就先这样哈,啊哈，阿姨。
A\C\C83.wav,一直减再减再减九那就是八十四哦,日前再见，再见。
A\B\R54.wav,左旋,糖，嗯。
A\B\F25.wav,一百减七九十三,100减7 93。
